address,city,country,name,postalCode,province
5802 S Broadway Ave,Tyler,US,McDonald's,75703,TX
3112 N Navarro St,Victoria,US,McDonald's,77901,TX
2 N Mineral St,Keyser,US,Subway,26726,WV
1845 Fry Rd,Katy,US,McDonald's,77449,TX
100 W Loop 340,Woodway,US,Whataburger,76712,TX
104 E Grant St,Roma,US,McDonald's,78584,TX
441 Craig St,Buffalo,US,McDonalds,75831,TX
2111 Ave F NW US 287,Childress,US,McDonald's,79201,TX
1005 S 14th St,Kingsville,US,Taco Bell,78363,TX
4622 S Fort Hood St,Killeen,US,McDonald's,76542,TX
404 N Wood St,Gilmer,US,Taco Bell,75644,TX
7104 S Fry Rd,Katy,US,McDonald's,77494,TX
1265 S Wheeler St,Jasper,US,McDonald's,75951,TX
307 E Wise St,Bowie,US,McDonald's,76230,TX
705 N McCoy Blvd,New Boston,US,Taco Bell,75570,TX
821 S Sam Houston Blvd,San Benito,US,McDonald's,78586,TX
2652 S Nc 127 Hwy,Hickory,US,Domino's Pizza,28602,NC
1696 N Center St,Lonoke,US,SONIC Drive In,72086,AR
651 Terry Pkwy Ste 101,Gretna,US,Domino's Pizza,70056,LA
1449 Papillion Dr,Papillion,US,Domino's Pizza,68133,NE
323 N 114th St,Omaha,US,Domino's Pizza,68154,NE
102 Pavilion Pkwy,Newport,US,Domino's Pizza,41071,KY
998 Nc Highway 150 W A,Greensboro,US,Domino's Pizza,27455,NC
1518 N Ed Carey Dr,Harlingen,US,Taco Bell,78550,TX
1501 7th St,Las Vegas,US,McDonald's,87701,NM
1130 Burlington St,Holdrege,US,Sonic Drive-In,68949,NE
1630 S Broadway,Minot,US,Taco Bell,58701,ND
801 Dakota Ave,Wahpeton,US,Taco John's,58075,ND
223 N Josephine Ave,Madison,US,Taco John's,57042,SD
327 S Canal St,Carlsbad,US,McDonalds,88220,NM
2005 E Madison Ave,Bastrop,US,McDonald's,71220,LA
2000 N Date St,Truth Or Consequences,US,Sonic Drive-In,87901,NM
320 NW 2nd St,Madison,US,McDonald's,57042,SD
681 W Bridge St,Owatonna,US,Taco Bell,55060,MN
2121 E Grand Ave,Laramie,US,Taco Bell,82070,WY
1401 Mill St,Belle Fourche,US,Taco John's,57717,SD
1650 E Bert Kouns Industrial Loop,Shreveport,US,Whataburger,71105,LA
600 N Grand Ave,Tahlequah,US,Northeastern State University,74464,OK
507 MacArthur Dr,Alexandria,US,McDonald's,71303,LA
245 High St,Ellsworth,US,Taco Bell,4605,ME
259 High St,Ellsworth,US,McDonald's,4605,ME
6001 San Mateo Blvd Ne Ste G1,Albuquerque,US,Pizza Hut,87109,NM
304 Keyser Ave,Natchitoches,US,McDonald's,71457,LA
192 Water St,Gardiner,US,Domino's Pizza,4345,ME
1306 S Thompson St,Springdale,US,SONIC Drive In,72764,AR
1310 E Main St,Stigler,US,McDonald's,74462,OK
1510 S Mississippi Ave,Atoka,US,Taco Bell,74525,OK
207 N Broadway St,Checotah,US,Subway,74426,OK
4105 Main St,Springfield,US,Domino's Pizza,97478,OR
499 Canal St,Brattleboro,US,Domino's Pizza,5301,VT
105 Blake Dr,Wagoner,US,SONIC Drive In,74467,OK
5704 Jackson St,Alexandria,US,Subway,71303,LA
603 E Main St,Endicott,US,McDonald's,13760,NY
1052 Sagamore Pkwy W,West Lafayette,US,Jimmy John's,47906,IN
363 Swanton Rd,Saint Albans,US,Taco Bell,5478,VT
580 Shelburne Rd Ste 11,Burlington,US,SUBWAY,5401,VT
2201 S Park Ave Ste 5,Alexandria,US,Pizza Hut,46001,IN
25 Berlin St,Montpelier,US,Domino's Pizza,5602,VT
313 2nd St,North Wilkesboro,US,Wendy's,28659,NC
127 North St,Houlton,US,Domino's Pizza,4730,ME
1215 2nd Ave W,Williston,US,Taco John's,58801,ND
